YCSB_KEY,field0,field1,field2,field3,field4,field5,field6,field7,field8
user0,,72.48249816894531,73.41999816894531,72.37999725341797,73.4124984741211,71.52082061767578,100805600,2019-12-31,AAPL
user1,,92.0999984741211,92.66300201416016,91.61150360107422,92.39199829101562,92.39199829101562,50130000,2019-12-31,AMZN
user2,,322.0,324.9200134277344,321.0899963378906,323.57000732421875,323.57000732421875,3713300,2019-12-31,NFLX
user3,,57.724998474121094,58.91999816894531,57.532501220703125,58.82500076293945,58.59601974487305,23100400,2019-12-31,NVDA
user4,,27.0,28.086000442504883,26.80533218383789,27.8886661529541,27.8886661529541,154285500,2019-12-31,TSLA
user5,well riding since last december do decision decision hmm min decide suggestion,,,,,,,2020-01-01,AAPL
user6,dow future point already,,,,,,,2020-01-01,AMZN
user7,daddy drinkin early tonight pt ohhhhh,,,,,,,2020-01-01,TSLA
user8,happy new year everyone,,,,,,,2020-01-01,TSLA
user9,haha collection greatsmars rofl bork,,,,,,,2020-01-01,TSLA
user10,nobody gas car driven human killed s upon s,,,,,,,2020-01-01,TSLA
user11,call first trade congrats bull,74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,73.15264892578125,135480400,2020-01-02,AAPL
user12,remember short every day one day right,74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,73.15264892578125,135480400,2020-01-02,AAPL
user13,called it bear comment make chuckle inside sweeet,74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,73.15264892578125,135480400,2020-01-02,AAPL
user14,taking thing aapl,74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,73.15264892578125,135480400,2020-01-02,AAPL
user15,bad day wish wouldnt sold call monday still took decent profit next week call though,74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,73.15264892578125,135480400,2020-01-02,AAPL
user16,peep posting bearish since,74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,73.15264892578125,135480400,2020-01-02,AAPL
user17,happy new year soon made call month ago thank apple,74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,73.15264892578125,135480400,2020-01-02,AAPL
user18,fkn crazy hit earnings get thinking high get iphone sale pretty good airpods sold everywhere,74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,73.15264892578125,135480400,2020-01-02,AAPL
user19,,93.75,94.90049743652344,93.2074966430664,94.90049743652344,94.90049743652344,80580000,2020-01-02,AMZN
user20,,326.1000061035156,329.9800109863281,324.7799987792969,329.80999755859375,329.80999755859375,4485800,2020-01-02,NFLX
user21,,59.6875,59.977500915527344,59.18000030517578,59.977500915527344,59.74403762817383,23753600,2020-01-02,NVDA
user22,hate say called it called it,28.299999237060547,28.713333129882812,28.11400032043457,28.68400001525879,28.68400001525879,142981500,2020-01-02,TSLA
user23,tomorrow buy time dip green,74.2874984741211,75.1449966430664,74.125,74.35749816894531,72.44145965576172,146322800,2020-01-03,AAPL
user24,thanks dip let bear talk gibberish ignore it,74.2874984741211,75.1449966430664,74.125,74.35749816894531,72.44145965576172,146322800,2020-01-03,AAPL
user25,leave enough red buy call open,74.2874984741211,75.1449966430664,74.125,74.35749816894531,72.44145965576172,146322800,2020-01-03,AAPL
user26,short bear never go apple,74.2874984741211,75.1449966430664,74.125,74.35749816894531,72.44145965576172,146322800,2020-01-03,AAPL
user27,end january,74.2874984741211,75.1449966430664,74.125,74.35749816894531,72.44145965576172,146322800,2020-01-03,AAPL
user28,im now dont think itll dip big itll nice,74.2874984741211,75.1449966430664,74.125,74.35749816894531,72.44145965576172,146322800,2020-01-03,AAPL
user29,ever shorted today deported u immigrant,93.2249984741211,94.30999755859375,93.2249984741211,93.74849700927734,93.74849700927734,75288000,2020-01-03,AMZN
user30,,326.7799987792969,329.8599853515625,325.5299987792969,325.8999938964844,325.8999938964844,3806900,2020-01-03,NFLX
user31,least already,58.775001525878906,59.45750045776367,58.525001525878906,59.01750183105469,58.78778076171875,20538400,2020-01-03,NVDA
user32,must rise level winning elate losing deflate me going happen today,29.366666793823242,30.266666412353516,29.128000259399414,29.534000396728516,29.534000396728516,266677500,2020-01-03,TSLA
user33,short f u c k e d,29.366666793823242,30.266666412353516,29.128000259399414,29.534000396728516,29.534000396728516,266677500,2020-01-03,TSLA
user34,dont short it trap lol see day,29.366666793823242,30.266666412353516,29.128000259399414,29.534000396728516,29.534000396728516,266677500,2020-01-03,TSLA
user35,see anything like tesla stock last year itll epic year model y roll summer,29.366666793823242,30.266666412353516,29.128000259399414,29.534000396728516,29.534000396728516,266677500,2020-01-03,TSLA
user36,one hear bear cry forest,29.366666793823242,30.266666412353516,29.128000259399414,29.534000396728516,29.534000396728516,266677500,2020-01-03,TSLA
user37,ignore clown bear marvelous opportunity awaits longterm bull,29.366666793823242,30.266666412353516,29.128000259399414,29.534000396728516,29.534000396728516,266677500,2020-01-03,TSLA
user38,bull fact side short fallacy fantasy lack knowledge side final round short squeeze coming soon stay tune,,,,,,,2020-01-04,TSLA
user39,it funny easy laugh bear point dont guy something useful like find good job afford buy apple instead posting jealous hate looking like,73.44750213623047,74.98999786376953,73.1875,74.94999694824219,73.0186767578125,118387200,2020-01-06,AAPL
user40,hit today need another point reach like smart gentleman said cnbc,73.44750213623047,74.98999786376953,73.1875,74.94999694824219,73.0186767578125,118387200,2020-01-06,AAPL
user41,hope come close touching either tomorrow wednesday,93.0,95.18450164794922,93.0,95.14399719238281,95.14399719238281,81236000,2020-01-06,AMZN
user42,test possibly test s tomorrow day mention since open,323.1199951171875,336.3599853515625,321.20001220703125,335.8299865722656,335.8299865722656,5663100,2020-01-06,NFLX
user43,,58.08000183105469,59.317501068115234,57.817501068115234,59.26499938964844,59.03432083129883,26263600,2020-01-06,NVDA
user44,squeal like pig chanos squeal like pig,29.364667892456055,30.104000091552734,29.333332061767578,30.1026668548584,30.1026668548584,151995000,2020-01-06,TSLA
user45,short thought making quick easy bethahhaha,29.364667892456055,30.104000091552734,29.333332061767578,30.1026668548584,30.1026668548584,151995000,2020-01-06,TSLA
user46,listened bear,29.364667892456055,30.104000091552734,29.333332061767578,30.1026668548584,30.1026668548584,151995000,2020-01-06,TSLA
user47,keep roasting short,29.364667892456055,30.104000091552734,29.333332061767578,30.1026668548584,30.1026668548584,151995000,2020-01-06,TSLA
user48,bear short later today,74.95999908447266,75.2249984741211,74.37000274658203,74.59750366210938,72.67527770996094,108872000,2020-01-07,AAPL
user49,ready open tomorrow it time,74.95999908447266,75.2249984741211,74.37000274658203,74.59750366210938,72.67527770996094,108872000,2020-01-07,AAPL
user50,green morning as yall taken profit,74.95999908447266,75.2249984741211,74.37000274658203,74.59750366210938,72.67527770996094,108872000,2020-01-07,AAPL
user51,congrats long trying time patience rewarded lot come,95.2249984741211,95.69450378417969,94.60199737548828,95.34300231933594,95.34300231933594,80898000,2020-01-07,AMZN
user52,,336.4700012207031,336.70001220703125,330.29998779296875,330.75,330.75,4703200,2020-01-07,NFLX
user53,look like noone today lol money,59.54999923706055,60.442501068115234,59.09749984741211,59.98249816894531,59.749027252197266,31485600,2020-01-07,NVDA
user54,butt ww screw sink stock whole house thrown still go up bear real,30.760000228881836,31.441999435424805,30.224000930786133,31.270666122436523,31.270666122436523,268231500,2020-01-07,TSLA
user55,congratulation elon spacex another successful drone ship landing the man zone,30.760000228881836,31.441999435424805,30.224000930786133,31.270666122436523,31.270666122436523,268231500,2020-01-07,TSLA
user56,bear constantly post old a pic crashed tesla hahahahaha learned yet im pretty sure account learned hope readyyyy whats next,30.760000228881836,31.441999435424805,30.224000930786133,31.270666122436523,31.270666122436523,268231500,2020-01-07,TSLA
user57,top channel believe,30.760000228881836,31.441999435424805,30.224000930786133,31.270666122436523,31.270666122436523,268231500,2020-01-07,TSLA
user58,wow jpm whole,30.760000228881836,31.441999435424805,30.224000930786133,31.270666122436523,31.270666122436523,268231500,2020-01-07,TSLA
user59,head fake w short covering,30.760000228881836,31.441999435424805,30.224000930786133,31.270666122436523,31.270666122436523,268231500,2020-01-07,TSLA
user60,bear say really good point youre right may pull back get front right now last month there opportunity even hateful self,30.760000228881836,31.441999435424805,30.224000930786133,31.270666122436523,31.270666122436523,268231500,2020-01-07,TSLA
user61,open tomorrow get electric rocket ship ready going moon,30.760000228881836,31.441999435424805,30.224000930786133,31.270666122436523,31.270666122436523,268231500,2020-01-07,TSLA
user62,im going far point,30.760000228881836,31.441999435424805,30.224000930786133,31.270666122436523,31.270666122436523,268231500,2020-01-07,TSLA
user63,man wait till day tesla start paying dividend announcement happens stock explode exdate,30.760000228881836,31.441999435424805,30.224000930786133,31.270666122436523,31.270666122436523,268231500,2020-01-07,TSLA
user64,search mark post bear short fried last month,30.760000228881836,31.441999435424805,30.224000930786133,31.270666122436523,31.270666122436523,268231500,2020-01-07,TSLA
user65,well it bynd mane it late buy maybe,30.760000228881836,31.441999435424805,30.224000930786133,31.270666122436523,31.270666122436523,268231500,2020-01-07,TSLA
user66,yep especially put buyer call chaser oof,30.760000228881836,31.441999435424805,30.224000930786133,31.270666122436523,31.270666122436523,268231500,2020-01-07,TSLA
user67,bear got gapped trapped,30.760000228881836,31.441999435424805,30.224000930786133,31.270666122436523,31.270666122436523,268231500,2020-01-07,TSLA
user68,move spike healthy melt up weak hand shake new cub let dancing elon did greater pressure everyday bigbear matter pps move boxed,30.760000228881836,31.441999435424805,30.224000930786133,31.270666122436523,31.270666122436523,268231500,2020-01-07,TSLA
user69,yes already looking cheap,30.760000228881836,31.441999435424805,30.224000930786133,31.270666122436523,31.270666122436523,268231500,2020-01-07,TSLA
user70,buy call easy money,74.29000091552734,76.11000061035156,74.29000091552734,75.79750061035156,73.84435272216797,132079200,2020-01-08,AAPL
user71,maybe dan ives wedbush reimburse chaser loss maybe,74.29000091552734,76.11000061035156,74.29000091552734,75.79750061035156,73.84435272216797,132079200,2020-01-08,AAPL
user72,time high market seems enjoy war much,74.29000091552734,76.11000061035156,74.29000091552734,75.79750061035156,73.84435272216797,132079200,2020-01-08,AAPL
user73,short term people need pull table uncertainty floating around dicey,74.29000091552734,76.11000061035156,74.29000091552734,75.79750061035156,73.84435272216797,132079200,2020-01-08,AAPL
user74,make bull believe terrorist stop launching rocket,74.29000091552734,76.11000061035156,74.29000091552734,75.79750061035156,73.84435272216797,132079200,2020-01-08,AAPL
user75,hahaha many bear buying putsell strong strong wanna see close hahaha,74.29000091552734,76.11000061035156,74.29000091552734,75.79750061035156,73.84435272216797,132079200,2020-01-08,AAPL
user76,,94.9020004272461,95.55000305175781,94.3219985961914,94.59850311279297,94.59850311279297,70160000,2020-01-08,AMZN
user77,,331.489990234375,342.70001220703125,331.04998779296875,339.260009765625,339.260009765625,7104500,2020-01-08,NFLX
user78,,59.939998626708984,60.5099983215332,59.537498474121094,60.095001220703125,59.861080169677734,27710800,2020-01-08,NVDA
user79,another target raised wow dust settle,31.579999923706055,33.232666015625,31.215333938598633,32.80933380126953,32.80933380126953,467164500,2020-01-08,TSLA
user80,take big dip tomorrow morning im closing hedge rolling k sub strike jan call strike call bring,31.579999923706055,33.232666015625,31.215333938598633,32.80933380126953,32.80933380126953,467164500,2020-01-08,TSLA
user81,wow great wake this going open maybe hit today,31.579999923706055,33.232666015625,31.215333938598633,32.80933380126953,32.80933380126953,467164500,2020-01-08,TSLA
user82,bullish af mewn point bubblepop drop last night good feeling holding call bork,31.579999923706055,33.232666015625,31.215333938598633,32.80933380126953,32.80933380126953,467164500,2020-01-08,TSLA
user83,oh yeah yesterday point run give,31.579999923706055,33.232666015625,31.215333938598633,32.80933380126953,32.80933380126953,467164500,2020-01-08,TSLA
user84,took profit resized position day ago soon ill again,31.579999923706055,33.232666015625,31.215333938598633,32.80933380126953,32.80933380126953,467164500,2020-01-08,TSLA
user85,bwahahaha isnt thing capable stopping train,31.579999923706055,33.232666015625,31.215333938598633,32.80933380126953,32.80933380126953,467164500,2020-01-08,TSLA
user86,who making tendies missed run,31.579999923706055,33.232666015625,31.215333938598633,32.80933380126953,32.80933380126953,467164500,2020-01-08,TSLA
user87,people seem forgotten energy business,31.579999923706055,33.232666015625,31.215333938598633,32.80933380126953,32.80933380126953,467164500,2020-01-08,TSLA
user88,thought end week middle week,31.579999923706055,33.232666015625,31.215333938598633,32.80933380126953,32.80933380126953,467164500,2020-01-08,TSLA
